Kod;Nazwa;Okresy;Owoc;Rok;Wartosc;Jednostka miary;Atrybut
0;POLSKA;rok;jabłka za 1 kg;2012;2,36;zł;
0;POLSKA;rok;jabłka za 1 kg;2013;2,35;zł;
0;POLSKA;rok;jabłka za 1 kg;2014;2,17;zł;
0;POLSKA;rok;jabłka za 1 kg;2015;2,21;zł;
0;POLSKA;rok;jabłka za 1 kg;2016;2,15;zł;
0;POLSKA;rok;jabłka za 1 kg;2017;2,58;zł;
0;POLSKA;rok;jabłka za 1 kg;2018;2,74;zł;
0;POLSKA;rok;jabłka za 1 kg;2019;2,43;zł;
0;POLSKA;rok;jabłka za 1 kg;2020;;zł;n
0;POLSKA;rok;śliwki węgierki za 1 kg;2012;3,44;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2013;3,43;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2014;2,51;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2015;3,21;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2016;2,91;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2017;5,75;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2018;2,56;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2019;3,44;zł;
0;POLSKA;rok;śliwki węgierki za 1 kg;2020;;zł;n
0;POLSKA;rok;wiśnie za 1 kg;2012;5,26;zł;
0;POLSKA;rok;wiśnie za 1 kg;2013;5,62;zł;
0;POLSKA;rok;wiśnie za 1 kg;2014;4,74;zł;
0;POLSKA;rok;wiśnie za 1 kg;2015;5;zł;
0;POLSKA;rok;wiśnie za 1 kg;2016;4,81;zł;
0;POLSKA;rok;wiśnie za 1 kg;2017;7,64;zł;
0;POLSKA;rok;wiśnie za 1 kg;2018;4,34;zł;
0;POLSKA;rok;wiśnie za 1 kg;2019;6,25;zł;
0;POLSKA;rok;wiśnie za 1 kg;2020;;zł;n
0;POLSKA;rok;czereśnie za 1 kg;2012;8,63;zł;
0;POLSKA;rok;czereśnie za 1 kg;2013;7,79;zł;
0;POLSKA;rok;czereśnie za 1 kg;2014;9,37;zł;
0;POLSKA;rok;czereśnie za 1 kg;2015;8,65;zł;
0;POLSKA;rok;czereśnie za 1 kg;2016;9,67;zł;
0;POLSKA;rok;czereśnie za 1 kg;2017;14,68;zł;
0;POLSKA;rok;czereśnie za 1 kg;2018;8,16;zł;
0;POLSKA;rok;czereśnie za 1 kg;2019;12,07;zł;
0;POLSKA;rok;czereśnie za 1 kg;2020;;zł;n
0;POLSKA;rok;truskawki za 1 kg;2012;7,51;zł;
0;POLSKA;rok;truskawki za 1 kg;2013;8,25;zł;
0;POLSKA;rok;truskawki za 1 kg;2014;7,76;zł;
0;POLSKA;rok;truskawki za 1 kg;2015;8,35;zł;
0;POLSKA;rok;truskawki za 1 kg;2016;9,73;zł;
0;POLSKA;rok;truskawki za 1 kg;2017;11,26;zł;
0;POLSKA;rok;truskawki za 1 kg;2018;11,09;zł;
0;POLSKA;rok;truskawki za 1 kg;2019;11,14;zł;
0;POLSKA;rok;truskawki za 1 kg;2020;;zł;n
0;POLSKA;rok;maliny za 1 kg;2012;12,06;zł;
0;POLSKA;rok;maliny za 1 kg;2013;12,64;zł;
0;POLSKA;rok;maliny za 1 kg;2014;11,92;zł;
0;POLSKA;rok;maliny za 1 kg;2015;13,66;zł;
0;POLSKA;rok;maliny za 1 kg;2016;13,79;zł;
0;POLSKA;rok;maliny za 1 kg;2017;15,19;zł;
0;POLSKA;rok;maliny za 1 kg;2018;13,21;zł;
0;POLSKA;rok;maliny za 1 kg;2019;16,74;zł;
0;POLSKA;rok;maliny za 1 kg;2020;;zł;n
0;POLSKA;rok;porzeczki czarne za 1 kg;2012;7,21;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2013;5,63;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2014;5,12;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2015;4,82;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2016;4,95;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2017;6,22;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2018;5,65;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2019;5,95;zł;
0;POLSKA;rok;porzeczki czarne za 1 kg;2020;;zł;n
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2012;5,54;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2013;4,93;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2014;5,47;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2015;4,65;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2016;5,03;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2017;6;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2018;5,75;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2019;6,88;zł;
0;POLSKA;rok;porzeczki kolorowe za 1 kg;2020;;zł;n
